roll_number,original_filename,processed_filename,original_path,processed_path,original_width,original_height,rotation_degrees,face_x,face_y,face_width,face_height,detection_confidence,face_count,blur_score,brightness_score,status
22102001,22102001_face_004.jpg,22102001_face_001.jpg,dataset/raw/uncovered/22102001/22102001_face_004.jpg,dataset/processed/22102001/22102001_face_001.jpg,640,640,0,40,0,74,81,0.9806459546089172,1,701.4610584960938,152.1815625,processed
22102001,22102001_face_007.jpg,22102001_face_002.jpg,dataset/raw/uncovered/22102001/22102001_face_007.jpg,dataset/processed/22102001/22102001_face_002.jpg,640,640,0,264,134,219,270,0.9522525668144226,1,728.499271812439,70.59359375,processed
22102001,22102001_face_008.jpg,22102001_face_003.jpg,dataset/raw/uncovered/22102001/22102001_face_008.jpg,dataset/processed/22102001/22102001_face_003.jpg,640,640,0,299,139,183,242,0.925411581993103,1,698.8429557357787,65.841796875,processed
22102001,22102001_face_018.jpg,22102001_face_004.jpg,dataset/raw/uncovered/22102001/22102001_face_018.jpg,dataset/processed/22102001/22102001_face_004.jpg,640,640,0,329,149,217,255,0.9481577277183533,2,705.685117185974,74.21703125,processed
22102001,22102001_face_019.jpg,22102001_face_005.jpg,dataset/raw/uncovered/22102001/22102001_face_019.jpg,dataset/processed/22102001/22102001_face_005.jpg,640,640,0,332,165,206,238,0.974412739276886,1,852.427079222107,78.866640625,processed
22102001,22102001_face_022.jpg,22102001_face_006.jpg,dataset/raw/uncovered/22102001/22102001_face_022.jpg,dataset/processed/22102001/22102001_face_006.jpg,640,640,0,223,161,244,271,0.9780888557434082,1,1275.0634386581419,82.9925390625,processed
22102001,22102001_face_023.jpg,22102001_face_007.jpg,dataset/raw/uncovered/22102001/22102001_face_023.jpg,dataset/processed/22102001/22102001_face_007.jpg,640,640,0,298,169,182,230,0.9977993965148926,1,1090.3681511474608,78.7348046875,processed
22102001,22102001_face_024.jpg,22102001_face_008.jpg,dataset/raw/uncovered/22102001/22102001_face_024.jpg,dataset/processed/22102001/22102001_face_008.jpg,640,640,0,262,163,239,266,0.9945458173751831,1,1039.5875398422243,83.000390625,processed
22102001,22102001_face_025.jpg,22102001_face_009.jpg,dataset/raw/uncovered/22102001/22102001_face_025.jpg,dataset/processed/22102001/22102001_face_009.jpg,640,640,0,300,165,221,253,0.9826508164405823,2,1036.2874600585938,82.47890625,processed
22102001,22102001_face_026.jpg,22102001_face_010.jpg,dataset/raw/uncovered/22102001/22102001_face_026.jpg,dataset/processed/22102001/22102001_face_010.jpg,640,640,0,286,155,257,293,0.9906065464019775,2,1194.474967210388,79.8809765625,processed
22102001,22102001_face_027.jpg,22102001_face_011.jpg,dataset/raw/uncovered/22102001/22102001_face_027.jpg,dataset/processed/22102001/22102001_face_011.jpg,640,640,0,335,165,201,255,0.9993206858634949,2,869.9657816146849,74.615625,processed
22102001,22102001_face_028.jpg,22102001_face_012.jpg,dataset/raw/uncovered/22102001/22102001_face_028.jpg,dataset/processed/22102001/22102001_face_012.jpg,640,640,0,298,169,206,260,0.9995711445808411,1,724.380687249756,72.4363671875,processed
22102001,22102001_face_029.jpg,22102001_face_013.jpg,dataset/raw/uncovered/22102001/22102001_face_029.jpg,dataset/processed/22102001/22102001_face_013.jpg,640,640,0,257,179,220,270,0.9891176819801331,1,828.5416811752319,71.1023828125,processed
22102001,22102001_face_030.jpg,22102001_face_014.jpg,dataset/raw/uncovered/22102001/22102001_face_030.jpg,dataset/processed/22102001/22102001_face_014.jpg,640,640,0,197,170,259,303,0.9955984950065613,1,1018.8234683700562,72.992890625,processed
22102001,22102001_face_031.jpg,22102001_face_015.jpg,dataset/raw/uncovered/22102001/22102001_face_031.jpg,dataset/processed/22102001/22102001_face_015.jpg,640,640,0,194,165,264,304,0.9999424815177917,3,1070.5247504333497,74.7498046875,processed
22102001,22102001_face_032.jpg,22102001_face_016.jpg,dataset/raw/uncovered/22102001/22102001_face_032.jpg,dataset/processed/22102001/22102001_face_016.jpg,640,640,0,225,163,257,299,0.9986441731452942,1,990.2512146240234,72.5788671875,processed
22102001,22102001_face_033.jpg,22102001_face_017.jpg,dataset/raw/uncovered/22102001/22102001_face_033.jpg,dataset/processed/22102001/22102001_face_017.jpg,640,640,0,237,158,267,310,0.9693756103515625,1,924.1798236755371,71.086640625,processed
22102001,22102001_face_034.jpg,22102001_face_018.jpg,dataset/raw/uncovered/22102001/22102001_face_034.jpg,dataset/processed/22102001/22102001_face_018.jpg,640,640,0,251,150,268,324,0.9613179564476013,1,1039.7811928085328,67.7063671875,processed
22102001,22102001_face_035.jpg,22102001_face_019.jpg,dataset/raw/uncovered/22102001/22102001_face_035.jpg,dataset/processed/22102001/22102001_face_019.jpg,640,640,0,271,132,273,326,0.9999801516532898,1,1084.821910093689,72.245078125,processed
22102001,22102001_face_036.jpg,22102001_face_020.jpg,dataset/raw/uncovered/22102001/22102001_face_036.jpg,dataset/processed/22102001/22102001_face_020.jpg,640,640,0,235,137,299,326,0.998502790927887,1,1118.0142112731933,79.8801953125,processed
22102001,22102001_face_037.jpg,22102001_face_021.jpg,dataset/raw/uncovered/22102001/22102001_face_037.jpg,dataset/processed/22102001/22102001_face_021.jpg,640,640,0,234,142,297,341,0.9780784845352173,1,982.9069818115235,71.3694140625,processed
22102001,22102001_face_038.jpg,22102001_face_022.jpg,dataset/raw/uncovered/22102001/22102001_face_038.jpg,dataset/processed/22102001/22102001_face_022.jpg,640,640,0,216,148,280,314,0.9922566413879395,1,944.374299888611,74.741640625,processed
22102001,22102001_face_039.jpg,22102001_face_023.jpg,dataset/raw/uncovered/22102001/22102001_face_039.jpg,dataset/processed/22102001/22102001_face_023.jpg,640,640,0,194,150,288,323,0.9937236309051514,2,863.9579275146484,73.349765625,processed
22102001,22102001_face_040.jpg,22102001_face_024.jpg,dataset/raw/uncovered/22102001/22102001_face_040.jpg,dataset/processed/22102001/22102001_face_024.jpg,640,640,0,191,142,299,332,0.9920137524604797,3,1079.577293939209,76.6009765625,processed
22102001,22102001_face_041.jpg,22102001_face_025.jpg,dataset/raw/uncovered/22102001/22102001_face_041.jpg,dataset/processed/22102001/22102001_face_025.jpg,640,640,0,176,153,308,330,0.9513109922409058,2,763.1876311874391,76.6461328125,processed
22102001,22102001_face_042.jpg,22102001_face_026.jpg,dataset/raw/uncovered/22102001/22102001_face_042.jpg,dataset/processed/22102001/22102001_face_026.jpg,640,640,0,153,135,298,364,0.9916915893554688,2,988.3860567855835,68.748125,processed
22102001,22102001_face_043.jpg,22102001_face_027.jpg,dataset/raw/uncovered/22102001/22102001_face_043.jpg,dataset/processed/22102001/22102001_face_027.jpg,640,640,0,197,147,257,306,0.9977401494979858,1,765.2640078720092,76.3090234375,processed
22102001,22102001_face_044.jpg,22102001_face_028.jpg,dataset/raw/uncovered/22102001/22102001_face_044.jpg,dataset/processed/22102001/22102001_face_028.jpg,640,640,0,221,167,252,294,0.9986163973808289,1,906.3537375473021,75.8772265625,processed
22102001,22102001_face_045.jpg,22102001_face_029.jpg,dataset/raw/uncovered/22102001/22102001_face_045.jpg,dataset/processed/22102001/22102001_face_029.jpg,640,640,0,215,167,288,345,0.9944380521774292,2,1189.1742889022828,78.0712109375,processed
22102001,22102001_face_046.jpg,22102001_face_030.jpg,dataset/raw/uncovered/22102001/22102001_face_046.jpg,dataset/processed/22102001/22102001_face_030.jpg,640,640,0,241,186,245,290,0.9843272566795349,3,1129.0388926696778,79.9528125,processed
22102001,22102001_face_047.jpg,22102001_face_031.jpg,dataset/raw/uncovered/22102001/22102001_face_047.jpg,dataset/processed/22102001/22102001_face_031.jpg,640,640,0,243,182,244,318,0.9943987131118774,4,1175.4625465682982,73.13984375,processed
22102001,22102001_face_048.jpg,22102001_face_032.jpg,dataset/raw/uncovered/22102001/22102001_face_048.jpg,dataset/processed/22102001/22102001_face_032.jpg,640,640,0,241,204,243,274,0.9983494877815247,3,742.6709437927245,79.8816796875,processed
22102001,22102001_face_049.jpg,22102001_face_033.jpg,dataset/raw/uncovered/22102001/22102001_face_049.jpg,dataset/processed/22102001/22102001_face_033.jpg,640,640,0,235,182,278,331,0.995419442653656,2,1209.6938462997437,64.919921875,processed
22102001,22102001_face_050.jpg,22102001_face_034.jpg,dataset/raw/uncovered/22102001/22102001_face_050.jpg,dataset/processed/22102001/22102001_face_034.jpg,640,640,0,248,192,271,321,0.9997032880783081,2,1165.9206198669435,62.5490234375,processed
22102001,22102001_face_051.jpg,22102001_face_035.jpg,dataset/raw/uncovered/22102001/22102001_face_051.jpg,dataset/processed/22102001/22102001_face_035.jpg,640,640,0,263,207,227,272,0.9994208216667175,1,757.5560925537109,62.823203125,processed
22102001,22102001_face_052.jpg,22102001_face_036.jpg,dataset/raw/uncovered/22102001/22102001_face_052.jpg,dataset/processed/22102001/22102001_face_036.jpg,640,640,0,257,207,229,261,0.9921531081199646,1,764.9232442855835,65.348359375,processed
22102001,22102001_face_053.jpg,22102001_face_037.jpg,dataset/raw/uncovered/22102001/22102001_face_053.jpg,dataset/processed/22102001/22102001_face_037.jpg,640,640,0,248,193,249,286,0.9928422570228577,1,920.1029030990602,65.585390625,processed
22102001,22102001_face_054.jpg,22102001_face_038.jpg,dataset/raw/uncovered/22102001/22102001_face_054.jpg,dataset/processed/22102001/22102001_face_038.jpg,640,640,0,254,189,249,281,0.9756984710693359,1,828.205675756836,69.0688671875,processed
22102001,22102001_face_055.jpg,22102001_face_039.jpg,dataset/raw/uncovered/22102001/22102001_face_055.jpg,dataset/processed/22102001/22102001_face_039.jpg,640,640,0,259,186,244,262,0.9878531098365784,2,867.2930771240234,79.7389453125,processed
